project_name,created_at,updated_at,event_type,event_num
atjam2024,2024/09/19 07:04:46.600561,2024/09/19 22:56:55.984091,フェス,3
竜王2024,2024/09/24 18:11:36.202211,2024/09/24 18:11:36.202211,フェス,2
Killer Tune,2024/10/19 11:57:13.571454,2025/04/26 15:37:31.010810,フェス,1
大青春祭,2024/10/21 00:02:14.543719,2025/04/26 15:34:12.974447,フェス,1
超明星現象2024,2024/11/08 21:03:44.535595,2024/11/08 21:03:44.535595,フェス,1
SOUNDGARDEN2024 supported by テレビ愛知,2024/11/13 01:14:42.175291,2026/01/03 17:01:50.239362,フェス,2
LEADING PREMIUM,2024/12/22 13:51:44.069788,2025/04/26 16:49:23.904042,フェス,1
TGG20250119,2024/12/29 00:50:12.557725,2024/12/29 00:50:12.557725,フェス,1
202507_SWEETSUMMER,2025/07/19 09:31:34.983710,2025/07/26 12:56:43.604370,フェス,1
202508_atjam,2025/08/17 05:14:25.958630,2025/08/17 15:55:06.182095,フェス,2
2025_10_ヒロインズサーキット,2025/09/24 16:35:53.047466,2025/09/30 03:55:34.310405,フェス,1
2026_0202_ガルガル,2026/01/29 19:26:07.475464,2026/01/30 11:50:30.077833,フェス,1
2026_2_ガルデラ,2026/02/18 16:33:14.070604,2026/02/20 00:01:27.589691,フェス,1
2026_05_カブキアゲ,2026/04/25 12:30:09.437005,2026/05/10 16:18:38.629502,フェス,2
2026_05_ガルガルMORIMORI,2026/05/16 19:23:47.902581,2026/06/07 19:47:56.597425,フェス,2
2026_05_わくわく大サーキット,2026/05/20 13:44:30.604106,2026/05/20 23:35:05.137734,フェス,1
2026_04_かがやきフェス,2026/03/14 11:11:53.897211,2026/05/25 02:24:18.414215,フェス,2
2026_06_（新フォーマット）エイトビーツ,2026/06/11 20:29:12.641833,2026/06/18 05:50:16.479671,フェス,3
202607_超NATSUZOME,2026/06/16 15:12:36.948968,2026/06/20 21:06:35.031395,フェス,2
キャッシュテスト,2026/06/19 23:50:59.657721,2026/06/20 14:08:33.857970,フェス,3
202606_【新】アイドル甲子園 FESTIVAL 2026,2026/06/20 15:01:12.917829,2026/06/21 00:39:26.828176,フェス,2
