project_name,created_at,updated_at,event_type,event_num
atjam2024,2024/09/19 07:04:46.600561,2024/09/19 07:04:46.600561,フェス,3
竜王2024,2024/09/24 18:11:36.202211,2024/09/24 18:11:36.202211,フェス,2
Killer Tune,2024/10/19 11:57:13.571454,2024/10/19 11:57:13.571454,フェス,1
大青春祭,2024/10/21 00:02:14.543719,2024/10/21 00:02:14.543719,フェス,1
超明星現象2024,2024/11/08 21:03:44.535595,2024/11/08 21:03:44.535595,フェス,1
SOUNDGARDEN2024 supported by テレビ愛知,2024/11/13 01:14:42.175291,2024/11/13 01:14:42.175291,フェス,2
LEADING PREMIUM,2024/12/22 13:51:44.069788,2024/12/22 13:51:44.069788,フェス,1
TGG20250119,2024/12/29 00:50:12.557725,2024/12/29 00:50:12.557725,フェス,1
かがやきフェス,2025/03/19 15:04:03.668177,2025/03/21 00:36:00.912667,フェス,2
大阪造船所アイドルフェスmini,2025/04/09 13:33:20.536398,2025/04/09 23:03:16.135524,フェス,2
202505_歌舞伎UPGATE,2025/04/23 13:14:31.483078,2025/04/29 00:22:10.877690,フェス,2
202505_HUG ROCK,2025/04/23 14:16:09.244170,2025/04/23 23:32:09.193461,フェス,1
202505_JCIF,2025/04/26 09:40:22.181411,2025/04/30 00:26:58.656974,フェス,2
202505_さとりモンスター下北物語,2025/05/20 11:41:49.966820,2025/05/21 21:30:39.173884,フェス,1
202505_mistFES_day2_a,2025/05/28 10:10:41.660827,2025/05/28 19:48:43.062562,フェス,1
202505_mistFES_day2_b,2025/05/28 10:50:30.140093,2025/05/28 20:10:59.727314,フェス,1
202505_mistFES_day2_d,2025/05/28 11:48:48.203029,2025/05/28 21:11:43.510094,フェス,1
202506_櫻草祭,2025/05/30 23:15:06.286480,2025/05/31 17:42:52.122975,フェス,1
202506_IdolCreamSoda,2025/06/02 09:24:27.393435,2025/06/02 18:28:24.579375,フェス,1
202506_RAD JAM,2025/06/02 15:20:02.887531,2025/06/05 00:33:10.583748,フェス,2
202506_RAD JAM_v2,2025/06/10 16:37:46.634327,2025/06/11 05:32:34.226020,フェス,2
202506_仙台FUSE,2025/06/16 12:10:39.206157,2025/06/16 21:18:15.939526,フェス,1
202507_見放題,2025/06/16 12:20:33.221949,2025/06/16 21:58:39.961617,フェス,2
202507_NATSUZOME,2025/06/20 09:20:52.155049,2025/07/06 00:27:02.092880,フェス,2
202508_LuckyFes,2025/06/20 14:57:42.130551,2025/06/21 01:23:55.619407,フェス,3
test_RAD,2025/06/21 17:29:28.765803,2025/06/22 03:00:19.497664,フェス,1
test_櫻草祭,2025/06/21 17:57:44.503842,2025/06/22 03:12:22.506084,フェス,2
test_mistFES,2025/06/21 18:14:01.067313,2025/06/22 03:23:26.318155,フェス,1
202507_TAIPEI_city_idol_expo,2025/06/25 14:50:47.022630,2025/06/28 19:55:30.913399,フェス,2
test_taipei_city,2025/06/25 15:37:50.462025,2025/06/26 00:39:21.078180,フェス,1
202507_SPARK,2025/06/26 11:44:20.573542,2025/07/10 21:39:08.156099,フェス,2
202507_関ケ原,2025/07/01 04:27:22.550626,2025/07/18 21:19:56.407981,フェス,3
202509_ROCKinJAPAN,2025/07/05 17:50:27.736046,2025/07/06 03:26:48.633653,フェス,5
202507_UtageFes,2025/07/08 13:53:40.144882,2025/07/26 14:23:44.894337,フェス,1
202507_MURO,2025/07/08 14:39:56.607697,2025/07/08 23:53:17.191373,フェス,2
202508_SweetLove,2025/07/08 15:09:23.532186,2025/07/09 01:00:57.609305,フェス,3
202507_SWEETSUMMER,2025/07/19 09:31:34.983710,2025/07/20 06:26:25.090981,フェス,1
202508_NEO合戦,2025/07/26 08:24:50.051329,2025/08/01 21:55:08.184974,フェス,1
202508_RISINGSUN,2025/07/26 16:19:13.155831,2025/07/27 01:42:41.632266,フェス,2
202508_TIF,2025/07/28 17:00:14.078263,2025/07/29 03:08:16.742681,フェス,3
202508_IDOL_SUMMER_JUNGLE,2025/07/31 14:23:40.979309,2025/08/08 18:59:08.515869,フェス,3
202508_SummerSonic,2025/08/07 18:49:09.428053,2025/08/08 04:43:37.124021,フェス,5
202508_HNG,2025/08/08 15:39:33.769587,2025/08/09 02:52:10.514176,フェス,3
202508_atjam,2025/08/17 05:14:25.958630,2025/08/26 23:22:54.956727,フェス,2
202508_エンドレスサマー,2025/08/18 15:39:27.194861,2025/08/20 21:18:42.700357,フェス,1
202508_くさのねアイドルフェスティバル,2025/08/18 15:47:41.409896,2025/08/24 14:26:35.073191,フェス,1
202508_RAどJAM,2025/08/19 14:43:35.182484,2025/08/20 00:18:37.543552,フェス,2
202508_MONSTERbaSH,2025/08/19 15:49:01.311075,2025/08/20 01:03:28.930231,フェス,2
202509_クロフェス,2025/08/27 08:24:41.389259,2025/09/06 09:23:02.982456,フェス,3
202509_SPARK,2025/09/01 13:14:36.381666,2025/09/11 03:48:58.284441,フェス,3
202509_TokyoCalling,2025/09/01 14:37:08.572270,2025/09/02 09:52:49.609549,フェス,3
202509_超明星現象,2025/09/02 13:59:13.499565,2025/09/07 08:57:12.637251,フェス,1
202509_livepro,2025/09/03 13:23:15.151755,2025/09/04 00:24:26.581042,フェス,3
202510_かがやきフェス,2025/09/06 04:29:34.110794,2025/09/19 00:16:00.182767,フェス,2
2025_10_MINAMI_WHEEL,2025/09/12 01:37:00.844729,2025/09/12 11:19:30.699122,フェス,3
2025_09_NAKAYOSHI_FES,2025/09/16 11:08:48.551550,2025/09/19 23:32:54.586598,フェス,1
2025_10_MEGAROCKS,2025/09/22 13:41:22.461104,2025/09/22 23:16:39.389328,フェス,1
2025_10_ヒロインズサーキット,2025/09/24 16:35:53.047466,2025/09/30 03:58:29.845619,フェス,1
2025_10_KABUKILLING CIRCUIT,2025/09/24 16:55:39.076056,2025/09/25 02:22:14.221934,フェス,1
2025_10_GirlsBomb_秋の大祭典,2025/09/29 14:28:39.565174,2025/10/03 11:59:48.738070,フェス,2
2025_10_大阪造船所,2025/10/06 15:00:35.209990,2025/10/07 00:38:18.798841,フェス,2
2025_10_六本木アイドルフェス,2025/10/08 15:30:51.085398,2025/10/09 01:02:32.312252,フェス,1
2025_10_ぐんまちゃんアイドルフェス,2025/10/09 12:32:25.960296,2025/10/09 22:11:01.618089,フェス,1
2025_10_雨ソラフェス,2025/10/10 10:26:02.574999,2025/10/10 21:02:43.910437,フェス,1
2025_11_秋葉原アイドルサーキット,2025/10/15 11:37:15.184457,2025/10/15 21:37:03.902374,フェス,1
2025_10_ブルーセッションEX,2025/10/17 16:18:48.347359,2025/10/19 00:58:17.905287,フェス,1
2025_10_ASHFES,2025/10/18 03:21:01.977594,2025/10/18 14:22:44.737747,フェス,1
2025_11_stomy_dudes,2025/10/20 12:36:17.532193,2025/10/20 21:57:25.121097,フェス,1
2025_11_DERAX,2025/10/22 14:56:18.788030,2025/10/28 21:45:29.453639,フェス,2
2025_11_WeekendInfinity,2025/11/07 00:22:56.754521,2025/11/07 09:47:18.504668,フェス,1
2025_11_exPoP!!!!!再会,2025/11/07 15:25:52.746006,2025/11/08 00:33:10.280661,フェス,1
2025_11_over fest ,2025/11/08 19:47:12.631446,2025/11/09 05:27:03.502259,フェス,1
2025_11_SOUNDGARDEN,2025/11/12 11:48:18.464789,2025/11/13 00:14:48.696526,フェス,2
2025_12_下北沢にて,2025/11/19 14:55:27.289030,2025/11/20 01:54:53.032145,フェス,1
2025_12_RADJAMwinter,2025/12/13 06:50:52.686310,2025/12/13 16:31:23.654189,フェス,2
2025_12_CountDownJapan,2025/12/18 12:47:35.796250,2025/12/18 22:23:25.617466,フェス,4
2025_12_Appareクリスマス,2025/12/20 13:23:27.044883,2025/12/22 22:18:40.745270,フェス,2
2025_12_LEADING_PREMIUM,2025/12/20 13:40:28.634320,2025/12/24 21:51:29.785031,フェス,1
2025_12_RadioCrazy,2025/12/23 14:39:50.699165,2025/12/24 00:15:36.169590,フェス,4
2026_01_アイドル初夢,2025/12/26 12:28:22.276855,2025/12/26 22:10:52.761273,フェス,2
2026_01_IdolFeverEverCircuit,2025/12/29 11:40:52.605690,2025/12/29 21:47:33.586120,フェス,1
2026_2_JapanExpoThailand,2025/12/30 15:16:24.986508,2026/01/29 18:43:31.750720,フェス,3
2026_2_ガルガル正月,2025/12/31 15:17:36.549759,2026/01/01 01:06:43.095589,フェス,1
2026_1_IdolContentExpo,2026/01/02 08:47:05.467556,2026/01/02 21:37:16.733885,フェス,1
2026_1_UtageFes,2026/01/15 09:36:32.273920,2026/01/21 22:02:44.369169,フェス,1
2026_1_でらロック,2026/01/16 21:11:24.419377,2026/01/22 23:23:02.431950,フェス,2
2026_2_ふぃくふぇす,2026/01/28 12:09:58.228099,2026/01/28 22:50:52.928585,フェス,1
2026_0202_ガルガル,2026/01/29 19:26:07.475464,2026/01/30 21:54:03.573525,フェス,1
2026_2_ガルデラ,2026/02/18 16:33:14.070604,2026/02/20 00:01:27.589691,フェス,1
2026_2_IDORISE,2026/02/20 14:50:10.756196,2026/03/02 22:51:54.745042,フェス,2
2026_2_HEROINES FES,2026/02/26 15:49:27.041469,2026/02/27 01:34:49.478685,フェス,3
2026_3_PopInFestival,2026/02/28 13:03:08.976303,2026/03/01 01:02:27.339367,フェス,1
2026_03_IDOLFILE,2026/03/03 05:13:20.641817,2026/03/03 14:45:59.051455,フェス,1
2026_03_ドイツ村,2026/03/09 14:36:09.326703,2026/03/13 16:42:23.666341,フェス,2
2026_04_かがやきフェス,2026/03/14 11:11:53.897211,2026/04/04 22:46:16.496392,フェス,2
2026_03_アイドル道場,2026/03/19 19:29:11.146755,2026/03/20 05:14:59.780728,フェス,1
2026_03_LEADING SPRING Circuit,2026/03/19 20:19:20.674842,2026/03/20 16:32:03.481521,フェス,1
