ステージID,ステージ名,特典会フラグ
0,Zepp Shinjuku (TOKYO),False
1,APEXIA,False
2,新宿LOFT,False
3,新宿MARZ,False
4,Zirco Tokyo,False
5,SHINJUKU WALLY,False
6,シアターマーキュリー新宿,False
7,新宿motion,False
8,新宿DHNoA,False
9,東急歌舞伎町タワー5階特設ステージ,False
10,歌舞伎町タワーステージ,False
11,特典会特典会1 JAM17 SPACE WEST（東急歌舞伎町タワー17階）,True
12,特典会特典会2 JAM17 SPACE WEST（東急歌舞伎町タワー17階）,True
13,特典会特典会3 JAM17 SPACE WEST（東急歌舞伎町タワー17階）,True
14,特典会特典会4 JAM17 SPACE WEST（東急歌舞伎町タワー17階）,True
15,特典会特典会5 JAM17 SPACE WEST（東急歌舞伎町タワー17階）,True
16,特典会特典会6 ヒートウェーブ,True
17,特典会特典会7 ヒートウェーブ,True
18,特典会特典会8 ヒートウェーブ,True
19,特典会特典会9 ヒートウェーブ,True
20,特典会特典会10 ヒートウェーブ,True
21,特典会特典会11 APEXIA,True
22,特典会特典会12 APEXIA,True
23,特典会特典会13 APEXIA,True
24,特典会特典会14 APEXIA,True
25,特典会特典会15 APEXIA,True
26,特典会特典会16 APEXIA,True
27,特典会特典会17 APEXIA,True
28,特典会特典会18 APEXIA,True
29,特典会特典会19 Zepp Shinjuku（TOKYO）,True
30,特典会特典会20 Zepp Shinjuku（TOKYO）,True
31,特典会特典会21 Zepp Shinjuku（TOKYO）,True
32,特典会特典会22 新宿LOFT,True
33,特典会特典会23 新宿LOFT,True
34,特典会特典会24 新宿LOFT,True
35,特典会特典会25 新宿DHNoA,True
36,特典会特典会26 新宿DHNoA,True
37,特典会特典会27 新宿DHNoA,True
38,特典会特典会28 Zirco Tokyo,True
39,特典会特典会29 Zirco Tokyo,True
40,特典会特典会30 Zirco Tokyo,True
41,特典会特典会31 シアターマーキュリー新宿,True
42,特典会特典会32 シアターマーキュリー新宿,True
43,特典会特典会33 シアターマーキュリー新宿,True
44,特典会特典会34 SHINJUKU WALLY,True
45,特典会特典会35 新宿MARZ,True
46,特典会特典会36 新宿motion,True
47,特典会特典会37 東急歌舞伎町タワー5階 特設ステージ,True
48,輪投げ,False
49,ダーツ,False
50,ボールひっかけ,False
51,スローイングゲーム,False
