出番ID,ライブ_from,ライブ_長さ(分),グループID,ステージID,グループ名_raw,グループ名,ステージ名,備考
0,13:00,30,64,0,THE ORCHESTRA TOKYO,THE ORCHESTRA TOKYO,Zepp Shinjuku(TOKYO),
1,13:35,30,127,0,ロージークロニクル,ロージークロニクル,Zepp Shinjuku(TOKYO),
2,14:10,30,125,0,ラフ×ラフ,ラフ×ラフ,Zepp Shinjuku(TOKYO),
3,14:45,30,62,0,Sweet Alley,Sweet Alley,Zepp Shinjuku(TOKYO),
4,15:20,30,130,0,二丁目の魁カミングアウト,二丁目の魁カミングアウト,Zepp Shinjuku(TOKYO),
5,15:55,30,94,0,なみだ色の消しごむ,なみだ色の消しごむ,Zepp Shinjuku(TOKYO),
6,16:30,30,52,0,Peel the Apple,Peel the Apple,Zepp Shinjuku(TOKYO),
7,17:05,30,33,0,JamsCollection,JamsCollection,Zepp Shinjuku(TOKYO),
8,17:40,30,68,0,WHITE SCORPION,WHITE SCORPION,Zepp Shinjuku(TOKYO),
9,18:15,30,23,0,MORE STAR,GARNET STAR,Zepp Shinjuku(TOKYO),
10,18:50,30,144,0,虹のコンキスタドール,虹のコンキスタドール,Zepp Shinjuku(TOKYO),
11,19:25,30,69,0,fav me,fav me,Zepp Shinjuku(TOKYO),
12,19:55,10,108,0,エンディング,エンディング,Zepp Shinjuku(TOKYO),
13,13:00,25,34,1,KAWAII LAB. MATES,KAWAII LAB. MATES,APEXIA,
14,13:25,25,56,1,Root mimi,Root mimi,APEXIA,
15,13:55,25,105,1,アップアップガールズ(2),アップアップガールズ（２）,APEXIA,
16,14:20,25,65,1,Toi Toi Toi,Toi Toi Toi,APEXIA,
17,14:50,25,124,1,メイビーME,メイビーME,APEXIA,
18,15:15,25,30,1,I MY ME MINE,I MY ME MINE,APEXIA,
19,15:45,25,70,1,feelNEO,feelNEO,APEXIA,
20,16:10,25,2,1,@onefive,@onefive,APEXIA,
21,16:40,25,25,1,Gran☆Ciel,Gran☆Ciel,APEXIA,
22,17:05,25,138,1,手羽先センセーション,手羽先センセーション,APEXIA,
23,17:35,25,74,1,log you,log you,APEXIA,
24,18:00,25,60,1,STAiNY,STAiNY,APEXIA,
25,18:30,25,101,1,アイドルカレッジ,アイドルカレッジ,APEXIA,
26,18:55,25,63,1,THE ENCORE,THE ENCORE,APEXIA,
27,13:00,25,137,2,愛乙女☆DOLL,愛乙女☆DOLL,新宿LOFT,
28,13:25,25,7,2,BLUEGOATS,BLUEGOATS,新宿LOFT,
29,13:55,25,15,2,CURE'T,CURE'T,新宿LOFT,
30,14:20,25,78,2,unSea,unSea,新宿LOFT,
31,14:50,25,8,2,BNSI,BNSI,新宿LOFT,
32,15:15,25,72,2,himawari(船橋),himawari(船橋),新宿LOFT,
33,15:45,25,147,2,限りなく白く,限りなく白く,新宿LOFT,
34,16:10,25,113,2,シュレーディンガーの犬,シュレーディンガーの犬,新宿LOFT,
35,16:40,25,35,2,KRD8,KRD8,新宿LOFT,
36,17:05,25,92,2,すべての瞬間は君だった。,すべての瞬間は君だった。,新宿LOFT,
37,17:35,25,45,2,Ma'Scar'Piece,Ma’Scar’Piece,新宿LOFT,
38,18:00,25,16,2,CYNHN,CYNHN,新宿LOFT,
39,18:30,25,47,2,"Mirror,Mirror","Mirror,Mirror",新宿LOFT,
40,18:55,25,77,2,selfish,selfish,新宿LOFT,
41,19:20,25,71,2,fishbowl,fishbowl,新宿LOFT,
42,13:00,25,123,3,ミームトーキョー,ミームトーキョー,新宿MARZ,
43,13:25,25,61,3,SWANTICK,SWANTICK,新宿MARZ,
44,13:55,25,12,3,B≡FULLEST,B≡FULLEST,新宿MARZ,
45,14:20,25,83,3,いにしえ永遠?,いにしえ永遠？,新宿MARZ,
46,14:50,25,50,3,PANDACLUB,PANDACLUB,新宿MARZ,
47,15:15,25,24,3,GREAT MONKEYS,GREAT MONKEYS,新宿MARZ,
48,15:45,25,21,3,Drawry.,Drawry.,新宿MARZ,
49,16:10,25,114,3,シンダーエラ,シンダーエラ,新宿MARZ,
50,16:40,25,54,3,ReFLiA,ReFLiA,新宿MARZ,
51,17:05,25,128,3,上月せれな,上月せれな,新宿MARZ,
52,17:35,25,66,3,UNBS,UNBS,新宿MARZ,
53,18:00,25,121,3,マイナーガール,マイナーガール,新宿MARZ,
54,18:30,25,135,3,強くてにゅーげーむ,強くてにゅーげーむ,新宿MARZ,
55,18:55,25,133,3,夢みるアドレセンス,夢みるアドレセンス,新宿MARZ,
56,19:20,25,38,3,LIT MOON,LIT MOON,新宿MARZ,
57,13:00,25,53,4,ROOKEY♡ROOKEYS,ROOKEY♡ROOKEYS,Zirco Tokyo,
58,13:25,25,14,4,CUBΣLIC,CUBΣLIC,Zirco Tokyo,
59,13:55,25,51,4,ParaLulu,ParaLulu,Zirco Tokyo,
60,14:20,25,36,4,KissBee,KissBee,Zirco Tokyo,
61,14:50,25,120,4,プエラの絶対値,プエラの絶対値,Zirco Tokyo,
62,15:15,25,55,4,Red Radiance,Red Radiance,Zirco Tokyo,
63,15:45,25,3,4,AISTEAL,AISTEAL,Zirco Tokyo,
64,16:10,25,46,4,Melodys High,Melodys High,Zirco Tokyo,
65,16:40,25,90,4,さよならステイチューン,さよならステイチューン,Zirco Tokyo,
66,17:05,25,93,4,てんしめし!,てんしめし！,Zirco Tokyo,
67,17:35,25,41,4,MARUKADO,MARUKADO,Zirco Tokyo,
68,18:00,25,145,4,蛍,蛍,Zirco Tokyo,
69,18:30,25,76,4,metarium,metarium,Zirco Tokyo,
70,18:55,25,148,4,雨のち、ハレーション,雨のち、ハレーション,Zirco Tokyo,
71,19:20,25,85,4,おちゃメンタル☆パーティー,おちゃメンタル☆パーティー,Zirco Tokyo,
72,13:00,25,81,5,あの日見たラッキースター,あの日見たラッキースター,SHINJUKU WALLY,
73,13:25,25,58,5,SAKURADOLL,SAKURADOLL,SHINJUKU WALLY,
74,13:55,25,42,5,MISS MERCY,MISS MERCY,SHINJUKU WALLY,
75,14:20,25,20,5,Dolly Kiss,Dolly Kiss,SHINJUKU WALLY,
76,14:50,25,11,5,Brave Mental Orchestra,Brave Mental Orchestra,SHINJUKU WALLY,
77,15:15,25,104,5,アップアップガールズ(仮),アップアップガールズ（仮）,SHINJUKU WALLY,
78,15:45,25,0,5,7限目のフルール,7限目のフルール,SHINJUKU WALLY,
79,16:10,25,27,5,HOTALOOP,HOTALOOP,SHINJUKU WALLY,
80,16:40,25,5,5,AZの理由,AZの理由,SHINJUKU WALLY,
81,17:05,25,13,5,COLOR of COLOR,COLOR of COLOR,SHINJUKU WALLY,
82,17:35,25,67,5,VVSIS,VVSiS,SHINJUKU WALLY,
83,18:00,25,110,5,コングラッチェ！,コングラッチェ！,SHINJUKU WALLY,
84,18:30,25,9,5,BOCCHI。,BOCCHI。,SHINJUKU WALLY,
85,18:55,25,28,5,Hey!Mommy!,Hey!Mommy!,SHINJUKU WALLY,
86,19:20,25,18,5,ChumToto,ChumToto,SHINJUKU WALLY,
87,13:00,25,102,6,アキシブproject,アキシブproject,シアターマーキュリー新宿,
88,13:25,25,129,6,世ノ果テデ人形ハ唯晒フ。,世ノ果テデ人形ハ唯哂フ。,シアターマーキュリー新宿,
89,13:55,25,87,6,きゅ〜くる,きゅ～くる,シアターマーキュリー新宿,
90,14:20,25,82,6,あまいものつめあわせ,あまいものつめあわせ,シアターマーキュリー新宿,
91,14:50,25,4,6,ARCANA PROJECT,ARCANA PROJECT,シアターマーキュリー新宿,
92,15:15,25,119,6,フィルフェリーチェ,フィルフェリーチェ,シアターマーキュリー新宿,
93,15:45,25,142,6,純情のアフィリア,純情のアフィリア,シアターマーキュリー新宿,
94,16:10,25,57,6,SAISON,SAISON,シアターマーキュリー新宿,
95,16:40,25,115,6,シンデレラ宣言!,シンデレラ宣言！,シアターマーキュリー新宿,
96,17:05,25,40,6,LilyS/ash,LilyS/ash,シアターマーキュリー新宿,
97,17:35,25,91,6,すてねこキャッツ,すてねこキャッツ,シアターマーキュリー新宿,
98,18:00,25,131,6,君と見るそら,君と見るそら,シアターマーキュリー新宿,
99,18:30,25,37,6,LINKL PLANET,LINKL PLANET,シアターマーキュリー新宿,
