グループID,グループ名_採用
0,1000日後の話。
1,AFTERS
2,AOAO
3,AZATOY
4,Aerolipop
5,Amulet A Mute
6,BELLRING少女ハート
7,BLACKNAZARENE
8,BOCCHI。
9,BUNGEE GUM.
10,CYNHN
11,Chalca
12,FES☆TIVE
13,FOKALITE
14,FULIT BOX
15,HACK
16,Honey Devil
17,I MY ME MINE
18,I to U $CREAMing!!
19,I’mew（あいみゅう）
20,JINKS
21,JYA☆PON 2.0
22,KAIJU ON THE STAGE
23,Kolokol
24,LADYBABY
25,MAGICAL SPEC
26,MEWM
27,Maison de Queen
28,Malcolm Mask McLaren
29,Ma’Scar’Piece
30,Merry BAD TUNE.
31,"Mirror,Mirror"
32,NARLOW
33,NEO JAPONISM
34,NUANCE
35,NightOwl
36,OLNew
37,PIGGS
38,PRSMIN
39,Quubi
40,ROOKEY♡ROOKEYS
41,RiNCENT♯
42,Ringwanderung
43,SAISON
44,SCRAMBLE SMILE
45,SPRISE
46,STAiNY
47,SW!CH
48,Shangmoo
49,TELLMIT
50,THE ENCORE
51,THE ORCHESTRA TOKYO
52,UtaGe!
53,YA'ABURNEE
54,YOLOZ
55,airattic
56,feelNEO
57,hakanai
58,himawari(船橋)
59,i Neo Moon
60,ideal peco
61,iiiidolll
62,kimikara（きみから）
63,may in film
64,selfish
65,situasion
66,ukka
67,unSea
68,zanka
69,かすみ草とステラ
70,こみっきゅおん！
71,さとりモンスター
72,すてねこキャッツ
73,てぃあどろっぷ！
74,どーぴんぐ疑惑
75,なんキニ!
76,にっぽんワチャチャ
77,にっぽん！真骨頂
78,のらりくらり
79,のんふぃく！
80,ぴ〜ちくぱ〜ちく
81,ぼくはまだしなない
82,みらサプ！
83,アンチテーゼ
84,キングサリ
85,ギガLOVEアップビート
86,クマリデパート
87,スターチスのラブレター
88,スーパーベイビーズ
89,ドラマチックレコード
90,ナナランド
91,ニコルポップ
92,ニーキューオメガ
93,ネコプラpixx.
94,ハニースパイスRe.
95,フューチャーサイダー
96,ベンジャス！
97,ポンコツコンポ
98,メイビーME
99,ラナキュラ
100,ラフ×ラフ
101,ルルネージュ
102,可憐なアイボリー
103,少年秘密倶楽部
104,星合いのライラック
105,最終未来少女
106,東京ガールズブラボー
107,点染テンセイ少女。
108,猫の眼に宇宙
109,空想ロマンス
110,群青の世界
111,虹色の飛行少女
112,衛星とカラテア
113,超常フォーチューン
114,透色ドロップ
115,都の国のアリス
116,限りなく白く
117,雨のち、ハレーション
118,高嶺のなでしこ
119,SITUASION
