出番ID,ライブ_from,ライブ_長さ(分),グループID,ステージID,グループ名_raw,グループ名,ステージ名,備考
0,10:45,20,3,0,CoTei,CoTei,STAGE 1,
1,11:05,20,33,0,まぶだちゅ！,まぶだちゅ！,STAGE 1,
2,11:25,20,1,0,BUNGEE GUM.,BUNGEE GUM.,STAGE 1,
3,11:45,20,4,0,Falench.,Falench.,STAGE 1,
4,12:05,20,23,0,ai*ai,ai*ai,STAGE 1,特典会時間誤植の可能性大のため勝手に修正
5,12:25,25,53,0,虹色の飛行少女,虹色の飛行少女,STAGE 1,
6,12:55,20,25,0,miao,miao,STAGE 1,
7,13:15,20,16,0,Milky＊Sphene,Milky✳︎Sphene,STAGE 1,
8,13:35,25,41,0,ネコプラpixx.,ネコプラpixx.,STAGE 1,特典会時間誤植の可能性大のため勝手に修正
9,14:00,20,19,0,PLATINUM Princess研究生,PLATINUM Princess 研究生,STAGE 1,
10,14:20,20,27,0,policy,policy,STAGE 1,
11,14:40,25,29,0,こみっきゅおん！,こみっきゅおん！,STAGE 1,
12,15:10,20,8,0,JYA☆PON 2.0,JYA☆PON 2.0,STAGE 1,
13,15:30,20,47,0,ベンジャス！,ベンジャス！,STAGE 1,
14,15:50,20,39,0,テラス × テラス,テラス×テラス,STAGE 1,
15,16:10,20,24,0,metarium,metarium,STAGE 1,
16,16:30,20,22,0,SAI²Rium,SAI ²Rium,STAGE 1,
17,16:50,20,20,0,Panic Monster !n Wonderland,Panic Monster !n Wonderland,STAGE 1,
18,17:15,25,0,0,2o Love to Sweet Bullet,2o Love to Sweet Bullet,STAGE 1,
19,17:40,20,15,0,Melty BeaR,Melty BeaR,STAGE 1,
20,18:00,25,45,0,フューチャーサイダー,フューチャーサイダー,STAGE 1,
21,18:25,20,10,0,LOVE 9 LOVE,LOVE 9 LOVE,STAGE 1,
22,18:45,25,31,0,なんキニ！,なんキニ!,STAGE 1,
23,19:10,25,21,0,RiNCENT#,RiNCENT♯,STAGE 1,
