出番ID,ライブ_from,ライブ_長さ(分),グループID,ステージID,グループ名_raw,グループ名,ステージ名,備考
0,10:00,25,94,0,ラストシーン,ラストシーン,TIGER STAGE,
1,10:25,25,40,0,MyDearDarlin',MyDearDarlin',TIGER STAGE,
2,10:50,25,82,0,ドレスコード,ドレスコード,TIGER STAGE,
3,11:15,25,43,0,Onephony,Onephony,TIGER STAGE,
4,11:45,25,93,0,マーキュロ,マーキュロ,TIGER STAGE,
5,12:10,25,83,0,ナナコロビヤオキ,ナナコロビヤオキ,TIGER STAGE,
6,12:35,25,71,0,アンスリューム,アンスリューム,TIGER STAGE,
7,13:00,25,115,0,衛星とカラテア,衛星とカラテア,TIGER STAGE,
8,13:25,20,15,0,coming soon...,CIDER GEM,TIGER STAGE,
9,13:50,25,80,0,テンシンランマン,テンシンランマン,TIGER STAGE,
10,14:15,25,45,0,Palette Parade,Palette Parade,TIGER STAGE,
11,14:40,25,81,0,ドラマチックレコード,ドラマチックレコード,TIGER STAGE,
12,15:15,25,52,0,TENRIN,TENRIN,TIGER STAGE,
13,15:40,25,42,0,NEO JAPONISM,NEO JAPONISM,TIGER STAGE,
14,16:05,25,102,0,夜光性アミューズ,夜光性アミューズ,TIGER STAGE,
15,16:30,25,26,0,JamsCollection,JamsCollection,TIGER STAGE,
16,16:55,20,15,0,coming soon...,CIDER GEM,TIGER STAGE,
17,17:20,25,37,0,MEGAFON,MEGAFON,TIGER STAGE,
18,17:45,25,17,0,FES☆TIVE,FES☆TIVE,TIGER STAGE,
19,18:10,25,54,0,UtaGe!,UtaGe!,TIGER STAGE,
20,18:35,25,85,0,ハルカエコー,ハルカエコー,TIGER STAGE,
21,19:10,25,117,0,高嶺のなでしこ,高嶺のなでしこ,TIGER STAGE,
22,19:35,25,60,0,iON!,iON!,TIGER STAGE,
23,20:00,30,59,0,iLiFE!,iLiFE!,TIGER STAGE,
24,10:00,20,25,1,I’mew（あいみゅう）,I’mew（あいみゅう）,MONKEY STAGE,
25,10:20,20,23,1,I MY ME MINE,I MY ME MINE,MONKEY STAGE,
26,10:40,20,22,1,Honey Devil,Honey Devil,MONKEY STAGE,
27,11:00,20,77,1,シャム=パレード,シャニムニ＝パレード,MONKEY STAGE,
28,11:25,20,95,1,ラナキュラ,ラナキュラ,MONKEY STAGE,
29,11:45,20,87,1,パラレルサイダー,パラレルサイダー,MONKEY STAGE,
30,12:05,20,11,1,BNSI,BNSI,MONKEY STAGE,
